Price,Open,High,Low,Close,Volume,Adj_Close
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,,
2023-10-19,752.7000122070312,763.125,751.5999755859375,757.4749755859375,30252364,737.3045654296875
2023-10-20,752.5,763.5,752.5,761.4000244140625,21094010,741.125
2023-10-23,761.75,764.375,750.0499877929688,753.0250244140625,22376136,732.9730834960938
2023-10-25,760.5,761.4000244140625,745.7249755859375,748.25,28311996,728.3252563476562
2023-10-26,745.625,746.0,730.125,731.7000122070312,55561798,712.2158813476562
2023-10-27,734.75,739.0,733.4500122070312,734.5750122070312,31940532,715.0143432617188
2023-10-30,731.625,744.9749755859375,730.9500122070312,742.5499877929688,23310982,722.7770385742188
2023-10-31,752.0,752.0,737.0,738.25,32634824,718.5914916992188
2023-11-01,731.125,738.7249755859375,731.125,737.25,33877466,717.6180419921875
2023-11-02,742.5,745.25,733.5750122070312,738.375,45225154,718.7131958007812
2023-11-03,744.0,745.7000122070312,740.8250122070312,741.875,18095340,722.1199340820312
2023-11-06,749.0,749.0,741.5,747.25,25593730,727.3518676757812
2023-11-07,747.0,747.0,738.5999755859375,743.625,41952848,723.8233642578125
2023-11-08,741.9749755859375,746.7249755859375,740.5,745.7750244140625,31399546,725.9161987304688
2023-11-09,743.0,746.2999877929688,741.75,742.8250122070312,22116740,723.044677734375
2023-11-10,740.0499877929688,748.0,740.0250244140625,745.75,14015186,725.8917846679688
2023-11-13,746.0499877929688,747.9749755859375,742.9500122070312,744.4000244140625,20605914,724.5777587890625
2023-11-15,752.0499877929688,755.4749755859375,750.2750244140625,752.2000122070312,41245460,732.1700439453125
2023-11-16,754.8499755859375,759.5,751.875,754.1749877929688,29713838,734.0924072265625
2023-11-17,745.0,753.75,744.5,752.5499877929688,23701874,732.5106811523438
2023-11-20,756.5,756.5,750.7750244140625,752.5999755859375,19331452,732.559326171875
2023-11-21,759.5,761.0,756.0499877929688,758.9749755859375,24959972,738.7645874023438
2023-11-22,760.0,760.0,751.7750244140625,756.2750244140625,29123650,736.1365966796875
2023-11-23,754.25,761.9249877929688,754.25,760.6500244140625,13046220,740.3950805664062
2023-11-24,760.5999755859375,766.5750122070312,759.9249877929688,766.0499877929688,16469192,745.6512451171875
2023-11-28,767.5999755859375,768.625,762.9000244140625,764.3250122070312,28489338,743.9721069335938
2023-11-29,766.9500122070312,781.5,766.5,779.5750122070312,34042488,758.8161010742188
2023-11-30,784.5750122070312,786.2249755859375,771.0750122070312,779.4000244140625,69491440,758.645751953125
2023-12-01,778.9500122070312,782.875,776.0499877929688,777.7000122070312,22153536,756.9910278320312
2023-12-04,794.0,806.0,786.8250122070312,804.7000122070312,50662456,783.2720336914062
2023-12-05,818.25,819.5,808.25,811.8499755859375,52230820,790.2315673828125
2023-12-06,819.2249755859375,819.2249755859375,808.3250122070312,813.9000244140625,38613060,792.2271118164062
2023-12-07,812.5,817.0,808.0999755859375,815.2249755859375,20450386,793.5167236328125
2023-12-08,815.2249755859375,827.5,815.2249755859375,826.5999755859375,33728038,804.5888061523438
2023-12-11,825.0250244140625,831.8499755859375,823.5,825.5,23187620,803.5181884765625
2023-12-12,827.0999755859375,828.125,815.9249877929688,817.2999877929688,36581476,795.5364990234375
2023-12-13,816.2249755859375,818.0,807.5499877929688,815.4500122070312,29346914,793.7357788085938
2023-12-14,823.0,829.4749755859375,822.5,825.0750122070312,35172366,803.1044311523438
2023-12-15,825.0,834.0,823.2999877929688,828.2750244140625,138837130,806.2192993164062
2023-12-18,830.3499755859375,832.3499755859375,825.4749755859375,827.8499755859375,18014754,805.8055419921875
2023-12-19,825.0,829.3250122070312,822.0250244140625,826.4500122070312,24008446,804.44287109375
2023-12-20,829.0,834.4749755859375,822.2249755859375,828.5,34232520,806.438232421875
2023-12-21,828.5,844.875,825.125,843.3499755859375,36589240,820.892822265625
2023-12-22,841.7999877929688,842.9500122070312,833.5499877929688,835.4249877929688,48578850,813.1788330078125
2023-12-26,836.625,842.9749755859375,834.2750244140625,841.2249755859375,18045856,818.8244018554688
2023-12-27,840.75,853.25,839.2999877929688,851.6500244140625,27009078,828.9718627929688
2023-12-28,854.6500244140625,860.7000122070312,851.0,852.625,44076470,829.9208374023438
2023-12-29,848.5,857.4500122070312,848.0,854.625,25011426,831.8676147460938
2024-01-01,853.0,854.5750122070312,846.0,849.0499877929688,14239686,826.4410400390625
2024-01-02,849.4000244140625,851.4000244140625,844.3499755859375,849.5499877929688,29242092,826.927734375
2024-01-03,851.0,852.3499755859375,834.4749755859375,836.4500122070312,28389762,814.1766357421875
2024-01-04,839.0,847.4749755859375,835.3499755859375,845.4249877929688,26734056,822.91259765625
2024-01-05,843.5750122070312,852.4500122070312,834.0499877929688,841.0999755859375,31889470,818.7027587890625
2024-01-08,839.25,841.1749877929688,830.0,831.7249755859375,17998470,809.577392578125
2024-01-09,833.5750122070312,838.9000244140625,823.375,825.25,25326888,803.2748413085938
2024-01-10,821.5,829.9749755859375,820.7000122070312,827.9749755859375,16115824,805.92724609375
2024-01-11,830.0,831.4500122070312,821.5,824.5,18314010,802.5447998046875
2024-01-12,826.0,828.0,816.7999877929688,820.5999755859375,19773552,798.74853515625
2024-01-15,823.8499755859375,840.4500122070312,821.7999877929688,836.4000244140625,28320356,814.1279296875
2024-01-16,836.5,841.8250122070312,829.0499877929688,839.5750122070312,25322500,817.2183837890625
2024-01-17,785.0,798.4000244140625,764.2000122070312,768.75,170145236,748.279296875
2024-01-18,747.0,757.5,740.0250244140625,743.0750122070312,161070930,723.2879638671875
2024-01-19,752.9749755859375,755.125,734.2000122070312,735.3250122070312,109600538,715.744384765625
2024-01-23,732.5,737.3499755859375,712.5,713.6749877929688,115469402,694.6708374023438
2024-01-24,690.125,729.2249755859375,690.125,727.9500122070312,86004404,708.5657958984375
2024-01-25,726.25,728.6749877929688,709.7000122070312,717.4500122070312,98941852,698.3453979492188
2024-01-29,724.0250244140625,731.4000244140625,722.9000244140625,727.3250122070312,65645498,707.9574584960938
2024-01-30,727.2750244140625,731.5999755859375,720.4500122070312,722.1500244140625,41728768,702.9202880859375
2024-01-31,719.75,737.4749755859375,718.4000244140625,731.2750244140625,65761040,711.80224609375
2024-02-01,732.5250244140625,736.7999877929688,728.0250244140625,733.1749877929688,32690740,713.651611328125
2024-02-02,737.5,740.4249877929688,721.0250244140625,723.0750122070312,44867754,703.820556640625
2024-02-05,723.0,725.9500122070312,717.0250244140625,722.4249877929688,38605046,703.1878051757812
2024-02-06,722.7750244140625,724.8499755859375,716.2999877929688,722.0499877929688,41075740,702.8228759765625
2024-02-07,726.5,726.9000244140625,713.3250122070312,714.9749755859375,54837086,695.9362182617188
2024-02-08,714.9249877929688,719.4749755859375,700.25,701.5250244140625,69106124,682.8444213867188
2024-02-09,696.0750122070312,707.0999755859375,693.5,701.7999877929688,56642124,683.112060546875
2024-02-12,699.8250122070312,706.8250122070312,691.6749877929688,695.0,34447812,676.4932250976562
2024-02-13,695.9749755859375,702.1749877929688,692.1749877929688,697.2249755859375,57580994,678.6588745117188
2024-02-14,688.0,695.75,681.7750244140625,692.0250244140625,91320810,673.5974731445312
2024-02-15,692.5,707.75,692.1749877929688,707.0250244140625,41584944,688.197998046875
2024-02-16,711.9500122070312,713.8499755859375,704.2249755859375,709.9500122070312,32175742,691.0451049804688
2024-02-19,714.5,714.5,707.5999755859375,708.5499877929688,34451756,689.682373046875
2024-02-20,707.5,728.625,705.9000244140625,727.1500244140625,56133508,707.7870483398438
2024-02-21,732.0,732.0,717.5,719.5750122070312,45893136,700.4137573242188
2024-02-22,708.875,714.4000244140625,706.0999755859375,709.7750244140625,50560882,690.8748168945312
2024-02-23,711.2750244140625,716.9500122070312,709.0,710.2999877929688,29833452,691.3857421875
2024-02-26,706.7750244140625,717.4249877929688,706.7750244140625,711.1500244140625,23506870,692.213134765625
2024-02-27,706.7750244140625,713.3499755859375,706.5250244140625,710.0750122070312,32087150,691.1668090820312
2024-02-28,710.0750122070312,712.0999755859375,702.0,704.7000122070312,25321986,685.9348754882812
2024-02-29,701.0499877929688,705.2000122070312,698.6500244140625,701.7000122070312,53295700,683.0147094726562
2024-03-01,700.0,716.375,700.0,715.375,34738898,696.3256225585938
2024-03-04,715.4749755859375,718.5,712.1500244140625,716.3499755859375,35616474,697.2745971679688
2024-03-05,711.0,721.5,710.8250122070312,720.4249877929688,37991672,701.2411499023438
2024-03-06,716.7750244140625,726.4249877929688,716.7750244140625,721.2999877929688,42409530,702.0928344726562
2024-03-07,722.75,725.5250244140625,720.7000122070312,723.0499877929688,49348046,703.7962646484375
2024-03-11,715.0,722.9749755859375,711.5,713.9000244140625,50531094,694.889892578125
2024-03-12,717.0,732.0,714.625,729.7750244140625,65418454,710.3421630859375
2024-03-13,732.75,735.7999877929688,725.0499877929688,730.2000122070312,63067454,710.755859375
2024-03-14,731.0499877929688,733.0,722.1500244140625,727.7249755859375,52432158,708.3467407226562
2024-03-15,725.0,729.6500244140625,721.125,726.3250122070312,143613804,706.9840698242188
2024-03-18,723.5,728.0,717.9000244140625,723.0250244140625,21437856,703.7719116210938
2024-03-19,717.75,726.2000122070312,717.75,724.6749877929688,36183594,705.3779907226562
2024-03-20,724.5250244140625,725.8250122070312,712.3250122070312,715.5250244140625,43606094,696.4716796875
2024-03-21,721.2999877929688,725.625,719.1500244140625,722.875,28922860,703.6258544921875
2024-03-22,720.5,725.375,718.875,721.4249877929688,45980326,702.2145385742188
2024-03-26,713.5999755859375,718.9749755859375,711.0750122070312,712.7000122070312,56844290,693.7218627929688
2024-03-27,711.7750244140625,723.9749755859375,710.625,720.3499755859375,62168668,701.1680908203125
2024-03-28,720.3499755859375,730.25,720.3499755859375,723.9500122070312,55592142,704.6723022460938
2024-04-01,729.0,736.9000244140625,727.7999877929688,735.25,25199570,715.67138671875
2024-04-02,732.5750122070312,747.4249877929688,731.625,740.0750122070312,41225446,720.367919921875
2024-04-03,736.0499877929688,747.8250122070312,735.7000122070312,741.1500244140625,45584386,721.414306640625
2024-04-04,752.0,765.0,752.0,763.7999877929688,88935066,743.4611206054688
2024-04-05,769.5,777.25,765.0750122070312,774.7750244140625,59055902,754.1439208984375
2024-04-08,777.4749755859375,778.625,770.7750244140625,773.2999877929688,20482940,752.7081298828125
2024-04-09,777.4249877929688,777.4249877929688,770.1500244140625,774.2750244140625,21884494,753.6572875976562
2024-04-10,774.9500122070312,774.9500122070312,766.4749755859375,768.1749877929688,27807400,747.7196655273438
2024-04-12,760.5,764.9249877929688,756.7249755859375,759.4749755859375,41084208,739.251220703125
2024-04-15,748.7750244140625,755.0,746.0250244140625,747.3499755859375,23415248,727.4491577148438
2024-04-16,743.5,756.4500122070312,741.125,754.625,20744886,734.5304565429688
2024-04-18,754.9000244140625,759.4249877929688,745.5250244140625,747.3499755859375,34234884,727.4491577148438
2024-04-19,743.2750244140625,767.4749755859375,740.125,765.6500244140625,34576434,745.2619018554688
2024-04-22,778.7000122070312,778.7000122070312,754.1500244140625,756.0999755859375,42298438,735.9661254882812
2024-04-23,763.1500244140625,763.25,751.625,753.7999877929688,26827060,733.7274169921875
2024-04-24,757.5,760.875,754.5250244140625,755.8499755859375,22441580,735.7227783203125
2024-04-25,753.125,759.8499755859375,753.125,755.375,35445204,735.260498046875
2024-04-26,759.9000244140625,764.0,752.7750244140625,754.9000244140625,24854694,734.7981567382812
2024-04-29,757.5,767.2249755859375,753.2750244140625,764.75,36093350,744.3858642578125
2024-04-30,764.5999755859375,769.75,757.4500122070312,760.0499877929688,52307382,739.8109741210938
2024-05-02,761.0,768.5,760.1749877929688,766.125,33475006,745.7242431640625
2024-05-03,766.625,770.2999877929688,753.5999755859375,759.7999877929688,31865242,739.567626953125
2024-05-06,761.0,767.25,758.5750122070312,761.3250122070312,28793396,741.0520629882812
2024-05-07,760.9749755859375,762.0250244140625,752.0750122070312,753.0750122070312,28480602,733.021728515625
2024-05-08,747.9749755859375,748.4749755859375,740.1749877929688,741.3250122070312,41687862,721.5845947265625
2024-05-09,737.4749755859375,743.375,722.6500244140625,723.75,46281278,704.4776000976562
2024-05-10,719.5,725.9749755859375,713.4000244140625,718.9500122070312,27276608,709.3616333007812
2024-05-13,716.0,729.9000244140625,715.1500244140625,727.625,27047202,717.9208984375
2024-05-14,726.125,732.75,725.1500244140625,730.4749755859375,25665142,720.7328491210938
